EEST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2014-9-1,30,24,18,17,15,12,78,55,26,1012,1009,1006,10,10,10,26,11,,0.00,2,,142
2014-9-2,27,22,18,20,17,14,94,70,48,1008,1005,1003,10,10,6,32,8,40,14.99,5,Rain-Thunderstorm,124
2014-9-3,26,22,18,19,18,16,94,78,47,1007,1005,1003,10,10,6,27,6,,0.51,5,Rain-Thunderstorm,267
2014-9-4,28,23,17,19,17,13,94,68,33,1010,1009,1008,10,10,10,24,10,,0.51,3,Rain,216
2014-9-5,28,23,18,20,17,14,94,67,36,1010,1009,1007,10,10,10,19,8,,0.00,4,Rain,251
2014-9-6,28,23,19,19,17,16,94,69,44,1009,1007,1006,10,10,8,26,8,,7.87,5,Rain-Thunderstorm,138
2014-9-7,22,21,19,19,18,17,94,85,62,1013,1010,1008,10,10,10,26,14,,4.06,7,Rain-Thunderstorm,315
2014-9-8,28,23,18,19,17,14,94,72,33,1016,1014,1013,10,10,10,34,6,,0.25,4,Rain-Thunderstorm,285
2014-9-9,27,23,19,19,17,14,94,72,45,1016,1015,1013,10,10,8,19,10,,0.00,4,Rain-Thunderstorm,131
2014-9-10,28,22,16,17,14,9,94,67,20,1015,1013,1011,10,10,10,14,8,,0.00,1,,158
2014-9-11,28,22,16,16,14,9,88,59,21,1014,1013,1012,10,10,10,23,10,,0.00,2,,126
2014-9-12,28,23,18,19,16,13,88,63,34,1016,1014,1013,10,10,10,19,6,,0.00,3,,133
2014-9-13,29,23,18,19,17,13,88,70,37,1017,1015,1013,10,10,10,21,10,,0.00,1,,136
2014-9-14,28,23,18,19,18,16,94,71,40,1015,1013,1012,10,10,10,24,10,,0.25,3,Rain-Thunderstorm,143
2014-9-15,25,22,19,20,17,15,88,73,55,1014,1013,1011,10,10,7,26,8,,0.25,5,Rain-Thunderstorm,321
2014-9-16,24,21,17,19,17,15,94,82,57,1013,1012,1012,10,10,7,19,5,,16.00,3,Rain-Thunderstorm,116
2014-9-17,24,20,16,17,16,13,94,81,49,1016,1014,1013,10,10,8,16,6,,25.91,5,Rain-Thunderstorm,167
2014-9-18,21,18,16,18,16,14,94,81,52,1021,1018,1016,10,10,10,16,6,,1.02,6,Rain,324
2014-9-19,26,19,13,16,14,12,94,72,38,1024,1022,1021,10,10,8,14,8,,0.00,1,,147
2014-9-20,25,21,16,17,16,14,94,72,43,1022,1020,1017,10,10,10,14,10,,0.00,4,,118
2014-9-21,27,22,18,19,17,16,88,74,48,1017,1014,1011,10,10,10,13,8,,0.00,4,,139
2014-9-22,28,22,17,21,19,16,94,79,52,1013,1009,1006,10,10,8,19,6,,0.00,3,,151
2014-9-23,28,21,14,20,12,3,94,58,27,1017,1008,1003,10,10,10,58,18,76,0.00,3,Rain,347
2014-9-24,22,18,13,7,3,0,67,40,14,1021,1018,1017,10,10,10,29,18,37,0.00,1,,336
2014-9-25,22,17,11,15,10,7,82,62,36,1018,1016,1015,10,10,10,14,8,,0.00,4,,50
2014-9-26,18,17,15,16,13,8,94,74,53,1015,1013,1012,10,9,2,39,13,40,3.05,6,Rain,342
2014-9-27,21,18,14,9,7,5,72,50,22,1020,1016,1013,10,10,10,37,23,55,0.00,3,Rain,344
2014-9-28,24,20,14,9,7,5,67,46,20,1027,1023,1021,14,10,10,34,23,42,0.00,1,,329
2014-9-29,23,17,11,12,9,7,88,62,27,1031,1028,1027,10,10,10,13,8,,0.00,1,,217
2014-9-30,24,18,11,13,11,7,88,67,25,1028,1025,1023,10,10,10,13,10,,0.00,1,,124
